min_samples_leaf	root_of_mean_squaref_error_of_testset
1	284.309605
2	299.634841
3	270.267461
4	280.204978
5	271.872104
6	261.630604
7	244.806680
8	259.610084
9	265.578546
10	265.832049
11	281.457836
12	290.941770
13	288.878022
14	292.503746
15	293.834837
16	298.109857
17	297.407364
18	297.757686
19	302.927361
20	299.917806
21	300.471715
22	298.073660
23	293.639216
24	293.639216
25	293.639216
26	295.704010
27	296.082703
28	299.324479
29	299.324479
30	301.785980
31	301.785980
32	303.891449
33	308.736422
34	308.736422
35	308.736422
36	308.736422
37	308.736422
38	308.736422
39	307.616089
40	307.995909
41	306.865932
42	306.865932
43	306.865932
44	370.454829
45	370.454829
46	386.083345
47	386.083345
48	386.083345
49	386.083345
50	386.083345
51	386.083345
52	386.083345
53	383.664274
54	383.664274
55	381.167040
56	381.167040
57	382.631370
58	382.631370
59	404.400114
60	404.400114
61	403.832969
62	403.832969
63	403.832969
64	402.092447
65	405.092822
66	398.925498
67	398.925498
68	398.925498
69	398.925498
70	398.954044
71	398.954044
72	398.954044
73	398.954044
74	398.954044
75	398.954044
76	398.954044
77	398.954044
78	398.954044
79	398.954044
80	398.954044
81	398.954044
82	398.954044
83	398.954044
84	398.954044
85	398.954044
86	398.954044
87	398.954044
88	398.954044
89	492.312660
90	492.312660
91	492.312660
92	492.312660
93	492.312660
94	492.312660
95	492.312660
96	492.312660
97	492.312660
98	492.312660
99	492.312660
100	492.312660
